"Name","totalWells","Runtime","eliteSize","mutationRate","numGenerations","populationSize","tournamentSize","finalMSE","monetaryCost","timeCost"
"smooth-sweep-45","13","538","2","0.1","50","100","6","0.12132683396339417","363279.11669925414","36327.91166992541"
"apricot-sweep-178","13","1614","3","0.1","200","100","3","0.12138982862234116","363795.72430959216","36379.57243095922"
"vivid-sweep-234","13","761","4","0.05","100","100","6","0.12145984917879105","363550.1731092699","36355.01731092699"
"swift-sweep-106","13","2118","2","0.15","200","100","3","0.1213880106806755","363865.35234565847","36386.53523456585"
"wild-sweep-141","13","743","3","0.05","200","50","6","0.1214458867907524","363173.5437967779","36317.35437967779"
"efficient-sweep-284","13","1133","4","0.1","200","50","4","0.12142437696456908","363587.5875006275","36358.75875006275"
"effortless-sweep-100","13","435","2","0.15","200","20","3","0.12152901291847228","363230.2009005942","36323.020090059406"
"pretty-sweep-126","13","1315","3","0.05","100","100","6","0.1214551255106926","363365.7348492108","36336.573484921086"
"solar-sweep-67","13","1093","2","0.1","200","50","3","0.12142807245254517","363751.85623547086","36375.18562354709"
"sandy-sweep-275","13","846","4","0.1","150","50","4","0.12144150584936142","363402.5434232878","36340.25434232879"
"daily-sweep-204","13","891","3","0.15","150","50","6","0.1214132308959961","363633.23360755545","36363.323360755545"
"brisk-sweep-139","13","759","3","0.05","200","50","3","0.12144785374403","363151.8536791944","36315.18536791944"
"ruby-sweep-57","13","347","2","0.1","150","20","6","0.12044750899076462","363148.39958643634","36314.83995864363"
"peach-sweep-34","13","2155","2","0.05","200","100","3","0.1214158460497856","363669.3056127637","36366.93056127637"
"efficient-sweep-194","13","518","3","0.15","100","50","4","0.12113216519355774","363495.85007064504","36349.58500706451"
"magic-sweep-87","13","519","2","0.15","100","50","6","0.1213475838303566","363555.87118986226","36355.58711898623"
"dainty-sweep-168","13","705","3","0.1","150","50","6","0.12144074589014052","363223.77453624","36322.377453624"
"comfy-sweep-195","13","497","3","0.15","100","50","6","0.1202428936958313","363429.1676395075","36342.91676395075"
"fluent-sweep-131","13","1832","3","0.05","150","50","4","0.12145798653364182","363136.692725271","36313.669272527106"
"skilled-sweep-68","13","1097","2","0.1","200","50","4","0.1214226335287094","363662.68084228295","36366.268084228286"
"lucky-sweep-80","13","617","2","0.15","50","100","4","0.1195678561925888","363619.55503622413","36361.95550362242"
"polar-sweep-64","13","427","2","0.1","200","20","3","0.12145134061574936","362984.9286862147","36298.49286862148"
"fast-sweep-270","13","1058","4","0.1","100","100","6","0.12140529602766036","363367.3171540488","36336.73171540488"
"lyric-sweep-278","13","1396","4","0.1","150","100","4","0.12138665467500688","363838.4837434316","36383.84837434317"
"sage-sweep-259","13","610","4","0.1","50","100","3","0.12011131644248962","363500.7143181632","36350.071431816315"
"bright-sweep-105","13","1051","2","0.15","200","50","6","0.12142885476350784","363736.67070501193","36373.667070501186"
"classic-sweep-161","13","1411","3","0.1","100","100","4","0.12130603194236755","363535.4354149053","36353.54354149053"
"good-sweep-277","13","1233","4","0.1","150","100","3","0.12139290571212769","363726.6067835757","36372.66067835757"
"distinctive-sweep-60","13","801","2","0.1","150","50","6","0.12147243320941924","363465.3359213419","36346.53359213418"
"eager-sweep-189","13","524","3","0.15","50","100","6","0.12070905417203905","363755.1643657838","36375.516436578386"
"glowing-sweep-116","13","521","3","0.05","50","100","4","0.11927592754364014","362508.7210661576","36250.87210661576"
"worldly-sweep-281","13","568","4","0.1","200","20","4","0.1202145740389824","362688.67807735794","36268.86780773579"
"silvery-sweep-286","13","2071","4","0.1","200","100","3","0.12138789147138596","363785.99688023137","36378.59968802314"
"polar-sweep-246","13","634","4","0.05","200","20","6","0.1198776587843895","361386.4373698576","36138.64373698575"
"rural-sweep-252","13","1705","4","0.05","200","100","6","0.1213996484875679","363832.64154628466","36383.264154628465"
"chocolate-sweep-180","13","1607","3","0.1","200","100","6","0.12139445543289185","363815.3539359116","36381.535393591155"
"balmy-sweep-239","13","864","4","0.05","150","50","4","0.12149575352668762","363083.1307473406","36308.31307473407"
"sage-sweep-31","13","1044","2","0.05","200","50","3","0.12142281234264374","363435.5496022627","36343.55496022627"
"lilac-sweep-72","13","3572","2","0.1","200","100","6","0.12139283120632172","363805.9910227187","36380.59910227187"
"volcanic-sweep-71","13","3557","2","0.1","200","100","4","0.1213911399245262","363890.477802763","36389.04778027629"
"denim-sweep-132","13","1898","3","0.05","150","50","6","0.12143569439649582","363124.1510680898","36312.415106808985"
"whole-sweep-242","13","1200","4","0.05","150","100","4","0.12138865888118744","363723.38214558014","36372.33821455802"
"ethereal-sweep-142","13","2596","3","0.05","200","100","3","0.12138786911964417","363628.299902512","36362.82999025119"
"decent-sweep-98","13","1595","2","0.15","150","100","4","0.12139397114515305","363820.2499443224","36382.02499443224"
"glad-sweep-51","13","549","2","0.1","100","50","6","0.12149913609027864","363034.1001726335","36303.410017263355"
"sleek-sweep-243","13","1261","4","0.05","150","100","6","0.12142658978700638","363561.92151490273","36356.19215149027"
"generous-sweep-52","13","1059","2","0.1","100","100","3","0.12139864265918732","363692.53598379326","36369.25359837931"
"bumbling-sweep-89","13","1009","2","0.15","100","100","4","0.12132492661476137","363797.5060630533","36379.750606305344"
"splendid-sweep-265","13","540","4","0.1","100","50","3","0.12001816183328629","362855.3874690846","36285.53874690845"
"northern-sweep-276","13","786","4","0.1","150","50","6","0.12143026292324066","363651.5653373093","36365.156533730944"
"lively-sweep-92","13","343","2","0.15","150","20","4","0.1214396134018898","363242.6853166439","36324.26853166438"
"summer-sweep-249","13","1073","4","0.05","200","50","6","0.12149804830551147","363308.52496104536","36330.85249610453"
"fresh-sweep-54","13","1073","2","0.1","100","100","6","0.12141622602939606","363498.5620634984","36349.85620634984"
"comic-sweep-50","13","542","2","0.1","100","50","4","0.12016881257295609","363198.7511260209","36319.8751126021"
"hardy-sweep-166","13","706","3","0.1","150","50","3","0.12146279215812684","363496.7477951516","36349.67477951517"
"helpful-sweep-198","13","796","3","0.15","100","100","6","0.12141997367143632","363665.977012099","36366.59770120989"
"vital-sweep-171","13","1443","3","0.1","150","100","6","0.1214059442281723","363568.6628413206","36356.86628413206"
"polished-sweep-196","13","1316","3","0.15","100","100","3","0.12093713134527206","363757.4130679947","36375.74130679947"
"cool-sweep-169","13","2154","3","0.1","150","100","3","0.1214114874601364","363660.9349977253","36366.093499772534"
"atomic-sweep-66","13","467","2","0.1","200","20","6","0.12148971855640411","362783.1658957084","36278.31658957085"
"smart-sweep-175","13","1254","3","0.1","200","50","3","0.12143009901046752","363645.8726740404","36364.58726740403"
"logical-sweep-99","13","1625","2","0.15","150","100","6","0.12139676511287688","363772.7062770371","36377.27062770372"
"likely-sweep-138","13","305","3","0.05","200","20","6","0.12127502262592316","362142.18793385767","36214.21879338576"
"peach-sweep-285","13","970","4","0.1","200","50","6","0.12140902131795885","363618.66844841914","36361.86684484191"
"sleek-sweep-96","13","820","2","0.15","150","50","6","0.12143950164318083","363609.1410986351","36360.91410986351"
"still-sweep-167","13","2154","3","0.1","150","50","4","0.12141521275043488","363085.1251497314","36308.51251497313"
"golden-sweep-199","13","309","3","0.15","150","20","3","0.12124312669038773","362544.7604872181","36254.47604872181"
"prime-sweep-61","13","1572","2","0.1","150","100","3","0.1213984340429306","363702.6741745557","36370.267417455565"
"grateful-sweep-232","13","1133","4","0.05","100","100","3","0.11998890340328217","363355.5628449508","36335.55628449508"
"dulcet-sweep-164","13","333","3","0.1","150","20","4","0.11978193372488022","362136.8271002939","36213.68271002939"
"clear-sweep-26","13","1851","2","0.05","150","100","4","0.12141858041286469","363587.1236710163","36358.71236710163"
"autumn-sweep-267","13","696","4","0.1","100","50","6","0.12052253633737564","363101.6783044951","36310.16783044952"
"dry-sweep-174","13","305","3","0.1","200","20","6","0.1215795874595642","362668.09214300534","36266.809214300534"
"stellar-sweep-159","13","502","3","0.1","100","50","6","0.12143903970718384","362937.9188170372","36293.79188170372"
"visionary-sweep-107","13","2061","2","0.15","200","100","4","0.121382936835289","363834.3902716218","36383.439027162174"
"deep-sweep-124","13","1035","3","0.05","100","100","3","0.1214783936738968","363320.57311836706","36332.05731183671"
"sparkling-sweep-125","13","1217","3","0.05","100","100","4","0.12151399999856947","363595.6431337197","36359.56431337197"
"serene-sweep-207","13","1377","3","0.15","150","100","6","0.12138772010803224","363831.22681703034","36383.12268170303"
"fine-sweep-129","13","451","3","0.05","150","20","6","0.12013227492570876","360530.3414034302","36053.03414034302"
"deep-sweep-280","13","441","4","0.1","200","20","3","0.1206752061843872","363161.8762259376","36316.18762259375"
"copper-sweep-193","13","525","3","0.15","100","50","3","0.12068627774715424","363540.1882438463","36354.018824384635"
"unique-sweep-49","13","548","2","0.1","100","50","3","0.12047907710075378","363258.4985768067","36325.84985768066"
"polished-sweep-69","13","1094","2","0.1","200","50","6","0.1214096173644066","363566.45209545415","36356.64520954541"
"hearty-sweep-209","13","929","3","0.15","200","20","4","0.12152397632598876","362936.1441199783","36293.61441199782"
"sandy-sweep-205","13","1151","3","0.15","150","100","3","0.1213853731751442","363815.47747672093","36381.54774767209"
"blooming-sweep-203","13","896","3","0.15","150","50","4","0.12141628563404085","363442.968835264","36344.2968835264"
"woven-sweep-91","13","351","2","0.15","150","20","3","0.12109185755252838","362816.16084190714","36281.61608419071"
"whole-sweep-272","13","323","4","0.1","150","20","4","0.11959827691316605","362056.9559344808","36205.69559344808"
"quiet-sweep-282","13","543","4","0.1","200","20","6","0.12153331190347672","362770.8553358037","36277.085533580364"
"ethereal-sweep-162","13","1411","3","0.1","100","100","6","0.12141332030296326","363633.74926999555","36363.37492699956"
"dark-sweep-248","13","1073","4","0.05","200","50","4","0.12148654460906982","363263.9532455264","36326.395324552635"
"fluent-sweep-144","13","2548","3","0.05","200","100","6","0.12140056490898132","363616.3581769352","36361.63581769353"
"silvery-sweep-241","13","1196","4","0.05","150","100","3","0.12121811509132384","363692.0167053874","36369.20167053873"
"glowing-sweep-134","13","2500","3","0.05","150","100","4","0.1214108020067215","363440.3359248998","36344.03359248997"
"iconic-sweep-130","13","1778","3","0.05","150","50","3","0.12116367369890212","363188.8153621529","36318.88153621529"
"super-sweep-179","13","1571","3","0.1","200","100","4","0.12139350920915604","363733.88500404824","36373.38850040482"
"summer-sweep-213","13","1014","3","0.15","200","50","6","0.1214202418923378","363709.34997485235","36370.93499748522"
"clear-sweep-201","13","321","3","0.15","150","20","6","0.12150202691555025","363264.7986021904","36326.47986021903"
"sparkling-sweep-160","13","946","3","0.1","100","100","3","0.1214003562927246","363686.9371795273","36368.69371795272"
"fearless-sweep-247","13","1078","4","0.05","200","50","3","0.12144839763641356","363413.6293458494","36341.36293458495"
"dulcet-sweep-214","13","2813","3","0.15","200","100","3","0.1213809847831726","363821.3271009144","36382.13271009144"
"youthful-sweep-283","13","1138","4","0.1","200","50","3","0.1214151605963707","363689.3393061235","36368.933930612344"
"proud-sweep-200","13","474","3","0.15","150","20","4","0.12086809426546095","362851.43017687503","36285.1430176875"
"peachy-sweep-143","13","2574","3","0.05","200","100","4","0.12140710651874542","363526.53290218546","36352.65329021854"
"colorful-sweep-202","13","896","3","0.15","150","50","3","0.12142334133386612","363586.7075981634","36358.670759816334"
"serene-sweep-170","13","2154","3","0.1","150","100","4","0.12139695137739182","363826.62258535594","36382.66225853559"
"dainty-sweep-197","13","815","3","0.15","100","100","4","0.12141574919223784","363725.33813122415","36372.53381312241"
"different-sweep-216","13","1794","3","0.15","200","100","6","0.1213865578174591","363816.71950659057","36381.67195065906"
"gentle-sweep-95","13","817","2","0.15","150","50","4","0.12140925228595734","363664.9561017848","36366.4956101785"
"northern-sweep-133","13","5860","3","0.05","150","100","3","0.12140396982431412","363656.0978445192","36365.60978445192"
"blooming-sweep-56","13","325","2","0.1","150","20","4","0.12155421078205109","361799.035685339","36179.903568533904"
"crimson-sweep-27","13","1849","2","0.05","150","100","6","0.12143649905920029","363682.9602718048","36368.29602718048"
"misty-sweep-212","13","1017","3","0.15","200","50","4","0.12141458690166472","363572.84437468665","36357.28443746866"
"silver-sweep-62","13","1649","2","0.1","150","100","4","0.12138692289590836","363660.1317714275","36366.01317714276"
"distinctive-sweep-279","13","1395","4","0.1","150","100","6","0.12138935178518297","363766.41547440423","36376.64154744042"
"visionary-sweep-59","13","808","2","0.1","150","50","4","0.12142592668533324","363345.5432646274","36334.55432646274"
"ruby-sweep-117","13","536","3","0.05","50","100","6","0.12041745334863664","363296.67109764647","36329.66710976465"
"logical-sweep-188","13","534","3","0.15","50","100","4","0.12046613544225691","363544.56639998953","36354.45663999896"
"blooming-sweep-35","13","2210","2","0.05","200","100","4","0.12140407413244247","363739.66678069055","36373.96667806905"
"driven-sweep-101","13","435","2","0.15","200","20","4","0.12143643945455553","363300.4745713559","36330.04745713559"
"cool-sweep-33","13","1057","2","0.05","200","50","6","0.12143337726593018","363241.5815433281","36324.1581543328"
"golden-sweep-58","13","813","2","0.1","150","50","3","0.12137775868177414","363251.76932334166","36325.176932334165"
"young-sweep-274","13","953","4","0.1","150","50","3","0.12147267162799837","363422.0341474102","36342.203414741016"
"leafy-sweep-206","13","1377","3","0.15","150","100","4","0.12138129770755768","363798.08337909513","36379.80833790952"
